398,396,"Access Community, Social And Rec Activities - Level 1 - Evening"
399,396,"Access Community, Social And Rec Activities - Level 1 - Evening - TTP"
404,396,"Access Community, Social And Rec Activities - Level 1 - Public Holiday"
405,396,"Access Community, Social And Rec Activities - Level 1 - Public Holiday - TTP"
400,396,"Access Community, Social And Rec Activities - Level 1 - Saturday"
401,396,"Access Community, Social And Rec Activities - Level 1 - Saturday - TTP"
402,396,"Access Community, Social And Rec Activities - Level 1 - Sunday"
403,396,"Access Community, Social And Rec Activities - Level 1 - Sunday - TTP"
396,396,"Access Community, Social And Rec Activities - Level 1 - Weekday Daytime"
397,396,"Access Community, Social And Rec Activities - Level 1 - Weekday Daytime - TTP"
408,406,"Access Community, Social And Rec Activities - Level 2 - Evening"
409,406,"Access Community, Social And Rec Activities - Level 2 - Evening - TTP"
414,406,"Access Community, Social And Rec Activities - Level 2 - Public Holiday"
415,406,"Access Community, Social And Rec Activities - Level 2 - Public Holiday - TTP"
410,406,"Access Community, Social And Rec Activities - Level 2 - Saturday"
411,406,"Access Community, Social And Rec Activities - Level 2 - Saturday - TTP"
412,406,"Access Community, Social And Rec Activities - Level 2 - Sunday"
413,406,"Access Community, Social And Rec Activities - Level 2 - Sunday - TTP"
406,406,"Access Community, Social And Rec Activities - Level 2 - Weekday Daytime"
407,406,"Access Community, Social And Rec Activities - Level 2 - Weekday Daytime - TTP"
418,416,"Access Community, Social And Rec Activities - Level 3 - Evening"
419,416,"Access Community, Social And Rec Activities - Level 3 - Evening - TTP"
424,416,"Access Community, Social And Rec Activities - Level 3 - Public Holiday"
425,416,"Access Community, Social And Rec Activities - Level 3 - Public Holiday - TTP"
420,416,"Access Community, Social And Rec Activities - Level 3 - Saturday"
421,416,"Access Community, Social And Rec Activities - Level 3 - Saturday - TTP"
422,416,"Access Community, Social And Rec Activities - Level 3 - Sunday"
423,416,"Access Community, Social And Rec Activities - Level 3 - Sunday - TTP"
416,416,"Access Community, Social And Rec Activities - Level 3 - Weekday Daytime"
417,416,"Access Community, Social And Rec Activities - Level 3 - Weekday Daytime - TTP"
207,209,"Access Community, Social And Rec Activities - Standard - Evening"
208,209,"Access Community, Social And Rec Activities - Standard - Evening - TTP"
